PA,SZ,AG,Pop
Boon Lay,Liu Fang,5_to_9,0
Boon Lay,Liu Fang,10_to_14,0
Boon Lay,Liu Fang,15_to_19,0
Boon Lay,Liu Fang,20_to_24,0
Boon Lay,Liu Fang,25_to_29,0
Boon Lay,Liu Fang,30_to_34,0
Boon Lay,Liu Fang,35_to_39,0
Boon Lay,Liu Fang,40_to_44,0
Boon Lay,Liu Fang,45_to_49,0
Boon Lay,Liu Fang,50_to_54,0
Boon Lay,Liu Fang,55_to_59,0
Boon Lay,Liu Fang,60_to_64,0
Boon Lay,Liu Fang,65_to_69,0
Boon Lay,Liu Fang,70_to_74,0
Boon Lay,Liu Fang,75_to_79,0
Boon Lay,Liu Fang,80_to_84,0
Boon Lay,Liu Fang,85_to_89,0
Boon Lay,Liu Fang,90_and_over,0
Boon Lay,Samulun,0_to_4,0
Boon Lay,Samulun,5_to_9,0
Boon Lay,Samulun,10_to_14,0
Boon Lay,Samulun,15_to_19,0
Boon Lay,Samulun,20_to_24,0
Boon Lay,Samulun,25_to_29,0
Boon Lay,Samulun,30_to_34,0
Boon Lay,Samulun,35_to_39,0
Boon Lay,Samulun,40_to_44,0
Boon Lay,Samulun,45_to_49,0
Boon Lay,Samulun,50_to_54,0
Boon Lay,Samulun,55_to_59,0
Boon Lay,Samulun,60_to_64,0
Boon Lay,Samulun,65_to_69,0
Boon Lay,Samulun,70_to_74,0
Boon Lay,Samulun,75_to_79,0
Boon Lay,Samulun,80_to_84,0
Boon Lay,Samulun,85_to_89,0
Boon Lay,Samulun,90_and_over,0
Boon Lay,Shipyard,0_to_4,0
Boon Lay,Shipyard,5_to_9,0
Boon Lay,Shipyard,10_to_14,0
Boon Lay,Shipyard,15_to_19,0
Boon Lay,Shipyard,20_to_24,0
Boon Lay,Shipyard,25_to_29,0
Boon Lay,Shipyard,30_to_34,0
Boon Lay,Shipyard,35_to_39,0
Boon Lay,Shipyard,40_to_44,0
Boon Lay,Shipyard,45_to_49,0
Boon Lay,Shipyard,50_to_54,0
Boon Lay,Shipyard,55_to_59,0
Boon Lay,Shipyard,60_to_64,0
Boon Lay,Shipyard,65_to_69,0
Boon Lay,Shipyard,70_to_74,0
Boon Lay,Shipyard,75_to_79,0
Boon Lay,Shipyard,80_to_84,0
Boon Lay,Shipyard,85_to_89,0
Boon Lay,Shipyard,90_and_over,0
Boon Lay,Tukang,0_to_4,0
Boon Lay,Tukang,5_to_9,0
Boon Lay,Tukang,10_to_14,0
Boon Lay,Tukang,15_to_19,0
Boon Lay,Tukang,20_to_24,0
Boon Lay,Tukang,25_to_29,0
Boon Lay,Tukang,30_to_34,0
Boon Lay,Tukang,35_to_39,0
Boon Lay,Tukang,40_to_44,0
Boon Lay,Tukang,45_to_49,0
Boon Lay,Tukang,50_to_54,0
Boon Lay,Tukang,55_to_59,0
Boon Lay,Tukang,60_to_64,0
Boon Lay,Tukang,65_to_69,0
Boon Lay,Tukang,70_to_74,0
Boon Lay,Tukang,75_to_79,0
Boon Lay,Tukang,80_to_84,0
Boon Lay,Tukang,85_to_89,0
Boon Lay,Tukang,90_and_over,0
Bukit Batok,Brickworks,0_to_4,1830
Bukit Batok,Brickworks,5_to_9,850
Bukit Batok,Brickworks,10_to_14,670
Bukit Batok,Brickworks,15_to_19,570
Bukit Batok,Brickworks,20_to_24,490
Bukit Batok,Brickworks,25_to_29,2200
Bukit Batok,Brickworks,30_to_34,2500
Bukit Batok,Brickworks,35_to_39,1240
Bukit Batok,Brickworks,40_to_44,1140
